id,title,slug,icon,summary,timetoeffect_optimistic,timetoeffect_likely,timetoeffect_pessimistic,example_applications,references,overview,implicationsDefenceSecurity,softwareAndAiRequirements,legalEthicalImplications,strategicImpactAssessment,typeOfTechnology,prominentDevelopers,disruptiveness,sensory,environment,image
1,Touchscreens,touchscreens,1 - Touchscreens Black-01,Small and medium screens (equivalent in size to smart phone screens and video display units associated with personal computers or laptops) which allow the human user to input information via contact or close contact with the screen.,0 Years,2 Years,5 Years,"Projected touchscreens used for mobile computing.

Vehicle control panels for infotainment.

Interactive navigational displays.","- [Touchscreen errors in a military context](https://www.bbc.co.uk/news/technology-49319450)
- [Projected touchscreens](https://www.youtube.com/watch?time_continue=5&v=HT8kJkeECyM&feature=emb_logo)
- [Flexible touch screens](https://www.sciencealert.com/this-new-hyper-flexible-touchscreen-means-your-next-phone-could-bend-and-stretch)","Touchscreens are already widely used in both smartphones and tablets, drawing on capacitive and resistive sensing technologies (but also using technologies such as infrared grids and surface acoustic waves). The human input can be both in the form of simple point and select, finger tracing or incorporating a diverse range of touch gestures based on a standard lexicon (e.g. zoom, swipe, etc.). The presentation of a touchscreen keyboard also allows this technology to be a major source of text information capture.

Developmental advances in touchscreens include the emergence of touchscreen projectors, which project onto a flat surface and turn enable the surface to be interacted with as a touchscreen, the introduction of feedback via the screen to replicate texture and resistance, and the use of close proximity detection, where actual touch is not required. Additionally, the use of infrared sensors in combination with complex algorithms offers the prospect of being able to recognise what is touching the screen and responding accordingly.","- This technology is already being incorporated for simple control panels onboard platforms.

- Different texture effects presented to users could be employed to warn them they are about to select a potentially dangerous option (e.g. discharge a weapon or override a safety parameter).

- Deployable projected touchscreens or foldable touchscreens could be used by dismounted soldiers as interactive situational awareness maps, and potentially allow them to specify where support capabilities should be deployed.","Interpreting user intent with regards to touch gestures and option selection already requires significant AI support for interpretation. As the lexicon of touch expands and becomes more intricate, this interpretation will need to increase in sophistication. It may be that individuals or groups will develop their own language of touch and that AI could play a key role in facilitating this, perhaps through clustering touch gesture patterns or learning to associate them with particular users.","The key areas where legal issues may arise with regards to touchscreens relate to option selection mistakes, task distraction and the use of touch patterns for identity management. Option selection mistakes may need to be considered from a legal perspective, where a critical decision made under duress leads to an erroneous selection of machine system options due to ""fat fingers"". The US Navy has already removed touchscreen interfaces from some ships due to accidents. Design effort to mitigate this risk will be critical, increasing standardisation and reducing complexity. Another area of legal risk may stem from the use of integrated touchscreen interfaces while performing another task simultaneously (e.g. driving a vehicle or operating a machine) resulting in an accident. Finally, the touch patterns of a user could increasingly be used to identify that user and provide continuous authentication for their access to a system. This will raise a number of privacy and data handling issues.","The increasing use of touchscreens will primarily impact on equipment, where in-service platforms will require retrofitting with new control panels, as touchscreens become more standard. Additionally, the logistics for maintaining touchscreens will need to be considered, as on site repairs are likely to be difficult.","Touchscreens rely on resistive and capacitive touch technologies, as well as other technologies such as infrared or surface acoustic technology. They also draw on advanced projection technology.",Tesla are one of the leading companies in developing [touchscreens for vehicle control]( https://www.nngroup.com/articles/tesla-big-touchscreen/). A number of large electronics manufacturers are producing prototype projected touchscreens. [Sony's Xperia Touch](https://developer.sony.com/develop/xperia-touch/) is one prominent example. [Touchscreen International](https://touchinternational.com/applications/military-touch-screen/) is one example of a company specialising in the development of robust touchscreens for a military environment.,Incremental,Visual (text):Visual (non-text),Air:Cyberspace:Electromagnetic:Land:Littoral:Maritime:Space,../images/tech-images/base/1 - Touchscreens.png
2,Touch-interactive large objects,touch_interactive_large_objects,2 - Touch-interactive Large objects Black-01,"Large flat surfaces (such as walls or whiteboards) and irregular shaped objects, which use touch as the input mechanism.",3 Years,5 Years,7Years,"Teaching and learning settings with large displays.

Simple touch operations for devices (e.g. on/off).

Large interactive surfaces for vending devices (e.g. fast food).

Use of building walls for control of equipment inside the room.

Digital interactive signage.","- [Bioimpedance for irregularly shaped objects](https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/620c43b2671735343efaeed25fa3ff7a0d62f1ec.pdf)
- [Smart paint on walls for light control](https://www.youtube.com/watch?v=VsGG469gK2g)
- [Smart walls Link #1](https://chrisharrison.net/projects/wallplusplus/wallplusplus.pdf) [Link #2](https://www.youtube.com/watch?time_continue=2&v=etRU_Nst8rE&feature=emb_logo)","This technology category relates to objects other than small handheld or computer screens, which can be touched to provide input to a machine system. It may register simple touch commands, based on different patterns of contact (repeated, moving, duration, etc.) in a similar way to a touch screen, or it may be used to identify a user based purely on characteristics ascertained through touch. 

This technology could also be used to manipulate displays on large surfaces, such as a wall, enabling multi-touch functionality (with multiple users interacting at one time). The current technology primarily utilises capacitive and resistive sensing technologies, but other approaches such as bioelectric impedance have been used, and advances in the development of flexible materials mean that traditional touch technologies are being applied to novel objects.","- This technology could be used on the walls of large naval platforms, to enable environmental conditions to be controlled.

- This could be applied to the handgrips of weapons or other pieces of equipment, to allow identification and authorisation of use.

- Touch technologies may be used in large scale collaborative exercises (e.g. training or military exercises) to allow individuals to manipulate entities in a virtual environment creating shared situational awareness.","Some AI is likely to be required to adapt to human user behaviour, where force, duration, repetition and other touch patterns will need some interpretation to distinguish between intentional and unintentional touches, and also to interpret different commands. Furthermore, if touch sensing is going to be used to identify the individual user, then algorithms that select relevant features and make confidence judgements about the verification of identity will be required.","The primary area of anticipated controversy for this technology is likely to be related to the identification of individuals based on touch. This may raise a number of privacy and personal information issues. Additionally, if system or equipment access is going to be controlled via this mechanism, scrutiny of the confidence of the verification method is likely to be high.","If used in Defence, this technology will need to be integrated into other equipment and therefore could have a significant impact on the need to retrofit existing platforms or equipment.

It may also have an impact on access to information, as it could become integrated into system access controls for IT systems. There is unlikely to be any serious impact on training requirements, as it should be relatively straightforward to use.","This relies on resistive and capacitive touch technologies, but may also incorporate other technologies such as infrared, surface acoustic technology and bioelectrical impedance. Additionally, it will be enabled by the production of flexible electronics.",Companies like [Multitaction](https://www.multitaction.com/) are pioneering the development of large collaborative touch surfaces. [Takram](https://www.takram.com/projects/zensei/) and MIT have collaborated over the Zensei bioimpedance sensor which has been used to identify a user based on contact.,Incremental,Tactile,Air:Cyberspace:Electromagnetic:Land:Littoral:Maritime:Space,../images/tech-images/base/2 - Touch-interactive Large objects.png
3,Gesture and movement sensors,gesture_and_movement_sensors,3 - GESTURE Black-01,Equipment which is capable of sensing and interpreting human movements in free space.,3 Years,5 Years,9 Years,"Game character control/avatar mimicry.

Drone control.

Sign language recognition and gesture-to-speech.

TV control.","- [Very high frequency gesture sensing](https://www.youtube.com/watch?v=Mx-O1nNGz9A)
- [Depth camera gesture sensing](https://www.researchgate.net/publication/254022329_Depth_camera_based_hand_gesture_recognition_and_its_applications_in_Human-Computer-Interaction)
- [Unmanned autonomous vehicle (UAV) piloting Link #1](http://oa.upm.es/26271/1/9084_12_2.pdf) [Link #2](https://core.ac.uk/download/pdf/148684219.pdf)
- [Different uses of hand gesture technology](https://www.researchgate.net/publication/271337997_Survey_on_Gesture_Recognition_for_Hand_Image_Postures)
- [Hand gestures for authentication or identification purposes](https://www.hindawi.com/journals/scn/2018/4879496/)
- [Deep learning for interpreting gestures](https://medium.com/twentybn/building-a-gesture-recognition-system-using-deep-learning-video-d24f13053a1)","This category of technology includes equipment which is designed to capture a human user's physical gestures or other body movements as an input for some sort of machine control or manipulation task. The gestures involved are distinct from those read by other technologies, in that this category primarily concerns gross motor movements performed in free space (either hand arm gestures or whole body actions), and so excludes the reading of facial gestures, or 'near screen' finger gestures, both of which are covered by other technology categories (image recognition cameras and touchscreens respectively). 

The technology currently draws most heavily on optical technologies, such as depth cameras, to sense gestures, but other technologies, such as radar or extreme high frequency waves (which potentially enable gestures to be read through different materials, e.g. a wall) are also being explored. Most future applications being considered are focused on non-safety-critical controls, due to some of the difficulties involved with accurately interpreting user gestures.","- This technology could be used in the remote piloting of platforms or robotics in an intuitive kinaesthetic way.

- Hand gestures might be used as a unique identifier for individuals, being used in parallel or instead of passwords or identity (ID) badges.","Approaches such as deep learning are likely to be required to interpret the gestures accurately, across a community of users with diverse gestural mechanics. Gesture is inherently more ambiguous than, for example, key strokes. This will mean that AI will be required to make more decisions about the intention of the user. The number of gesture features and their potential for variety, is likely to mean that it will be limited as an option for high risk activities within the 20 year timeframe, even given advances in AI technologies over that time.","The key consideration in this area is likely to be the accuracy of the gesture recognition. The more accurate it is, the more likely it is that it will be used for precise and high risk activities (such as targeting and weapon system operation).","This technology is likely to necessitate a training requirement where the technology is used for Defence-specific tasks, which are dissimilar to any everyday uses of gesture recognition.

It is also likely to require substantial amendments to doctrine to standardise the ways gesture sensing technology is deployed in Defence. Work to specify standards will also be needed and there are likely to be a number of policy changes, particularly before the technology has been tested in an operational context.

The technology could have implications for interoperability within alliances and coalitions, as different partners are likely to have different policies on permissions relating to the use of gesture recognition.","Systems draw on a variety of sensors utilising different elements of the electromagnetic spectrum (e.g. radar, optical light and 3D cameras, extreme high frequency waves). Sonar has also been experimented with.","Gesture recognition has been trialled in the gaming community [notably with Xbox's Kinect technology](https://news.xbox.com/en-us/2014/08/27/xbox-one-standalone-kinect/), but has largely been rejected for the time being, while the technology improves. Companies such as [GestureTek](http://gesturetek.com/index.php) and [Sony Depthsensing](https://www.sony-depthsensing.com/) specialise in developing commercial applications of this technology across sectors.",Incremental,Movement/Orientation,Air:Cyberspace:Electromagnetic:Land:Littoral:Maritime:Space,../images/tech-images/base/3 - Gesture n movement controls.png
4,Handheld controllers,handheld_controllers,4 - Handheld Controllers Black,"Handheld controllers (e.g. computer joysticks, game controllers, computer mouse) which are moved and pressed by the human user to provide input.",0 Years,0 Years,2 Years,"Game control.

Drone piloting.

Robot control.","- [Haptic feedback integrated into handheld controller ](https://www.cnet.com/news/sony-reveals-playstation-5-controller/)
- [Motion sensing of handheld controllers for virtual reality](https://partner.steamgames.com/vrlicensing)","Handheld controllers have long been used for computer gaming, ranging from gamepads to joysticks to virtual reality handheld controllers. The games console industry has invested heavily in optimising the design of handheld controllers and there is a very large group of users for whom they represent intuitive input interfaces. 

There have been some trends to integrate handheld controllers with motion sensing technology to augment the game playing experience (e.g. the Wiimote), or to allow interaction with virtual or augmented reality environments, and also to incorporate vibration as a simple form of haptic feedback and introduce adaptive resistance on buttons and joysticks to simulate in game effects. However, in general, technological evolution relating to this type of interface has slowed down recently, suggesting it is fairly mature and less likely to be subject to any further revolutionary innovations.","- Handheld controllers are already used in UAV piloting.

- During the early introduction of robotic capabilities, such as bomb disposal robots, building breach robots or load carrying robots) handheld controls are likely to be used before greater autonomy is afforded to such capabilities.","There is a minimal requirement for AI or software to support the use of handheld controllers at present. However, as the human machine-teaming elements of tasks such as remote vehicle piloting or robot operation become more complex, with partial autonomy, there is likely to be the requirement for solutions which manage the handover between human control and autonomous activity.","There are relatively few legal or ethical issues relating to the use of handheld controllers, which have a history of use and are generally well understood. There may be some issues arising pertaining to culpability for mistakes at the point of transition between human and autonomous control.",Handheld controllers are already in use across Defence and there are unlikely to be any significant DLOD impacts resulting from technological advances in the coming years.,"These devices traditionally provided simple ergonomic push button controllers, but have more recently incorporated a wide range of additional sensors, such as pressure, temperature, touch pads, position/orientation sensors and movement sensors. Furthermore, commercial devices designed for gaming are incorporating a wide range of feedback components such as vibration and haptic actuators.",The game industry is at the forefront of producing handheld controllers. The major games consoles produce handheld controllers for their latest consoles e.g. [PlayStation 5](https://www.theguardian.com/games/2020/apr/07/playstation-5-sony-reveals-new-dualsense-controller-ps5).,Incremental,Movement/Orientation,Land:Air:Maritime,../images/tech-images/base/4 - Handheld Controllers.png
5,Keyboard and text input devices,keyboard_and_text_input_devices,5 - Keyboard Input Black-01,Equipment which is physically manipulated with the primary purpose of entering text into a computer.,0 Years,0 Years,0 Years,"All office-based tasks requiring text input.

Gaming use of a keyboard for character control.","- [Flexible keyboards](https://pubs.acs.org/doi/10.1021/acsami.8b04914)
- [Laser projected keyboard](https://electronics.howstuffworks.com/gadgets/travel/virtual-laser-keyboards.htm)
- [Tilt-based, one handed text entry](https://www.researchgate.net/publication/316709057_Investigating_Tilt-based_Gesture_Keyboard_Entry_for_Single-Handed_Text_Entry_on_Large_Devices)
- [Wearable typing sensors / invisible keyboards](https://www.digitaltrends.com/mobile/tap-strap-wearable-keyboard-news/)
- [Identification and continuous authentication of users based on typing / keystroke dynamics](https://www.researchgate.net/publication/329923359_Recent_Advances_in_User_Authentication_Using_Keystroke_Dynamics_Biometrics)","Physical keyboards are obviously a long-established interface technology. However, there are a number of related newer technologies, designed to capture text input from human users. 

These include a plethora of methods for delivering keyboards to different surfaces, such as garments, paper or any flat surface (using a projected keyboard). Modern manufacturing methods also enable the keyboards themselves to be produced in much more space efficient and portable physical forms, such as folding keyboards and even roll-up keyboards. 

There are some novel approaches being developed for text entry where both hands are not free, such as a tilt-based method for single-handed, fingerless text entry. In addition, less technology-based methods are constantly being explored for one-handed typing, including ergonomically designed one-handed keyboards and chorded keyboards (where multiple buttons are pressed in combination as 'chords' to produce inputs). There are also attempts to develop wearable typing sensors, which require no visual keyboard at all, but instead rely on sensing the movement of a user's fingers. Finally, a number of approaches are being developed to use keystroke dynamics, detected via a standard keyboard, as behavioural biometrics in contexts like continuous user identity authentication.","- The increasing flexibility of keyboards, projected keyboards or technologies that facilitate one handed typing could all be used by an active military role (e.g. a dismounted soldier to produce text while in the field (e.g. a patrol report).

- Analysis of keystroke dynamics could be used to provide continuous authentication of users for classified systems.","The only element of keyboard use that might require AI support is the analysis of keystroke dynamics, where advanced learning algorithms may be used to learn individual patterns in order to recognise users to a sufficient degree of certainty. Additionally, text prediction/auto-complete and spelling/grammar correction algorithms are important supporting software elements which facilitate better and easier text input.",The use of keystroke dynamics might raise some issues around the collection and storage of personal data.,"Capturing keystroke dynamics for users of classified systems, may mean that the data about their individual keystroke patterns could carry the same level of information risk as system passwords. Steps would have to be taken against unclassified systems or personal devices to ensure these patterns were not captured through keylogging software.","Keyboards historically have relied on simple switches which make or break an electric circuit when actuated. However, many commercial solutions exist which remove the need for mechanical components. Projected keyboards for example can detect finger location, movement and vibration. Additionally, it is likely that additional sensors could be built into individual keys to detect hand position and movement as well as temperature and pressure.", [typingdna](https://www.typingdna.com/) are involved in using keystroke dynamics to authenticate users.,Incremental,Visual (text),Air:Cyberspace:Electromagnetic:Land:Littoral:Maritime:Space,../images/tech-images/base/5 - Keyboard Input.png
6,Drawing or writing implements,drawing_or_writing_implements,6 - Drawing or writing implements Black-01,Handheld objects (e.g. a stylus or digipen) whose movement is accurately traced and used as information input.,2 Years,3 Years,5 Years,"The production of artwork.

Architectural design or technical drawing.

Handwriting for taking notes.","- [3D drawing in virtual environments Link #1](https://dl.acm.org/doi/10.1145/3025453.3025474) [Link #2](https://dl.acm.org/doi/10.1145/3025453.3025792)
- [Stylus pens with their own display](https://www.slashgear.com/surface-pen-of-the-future-could-have-its-own-display-17580723/)","This category of technology includes handheld implements that mimic pens or pencils and can be used to draw, write or point / select. This includes the styluses used with some smartphones and tablets, but also extends to longstanding technologies such as light pens.

Recent developments include drawing implements that are used inside virtual environments to draw three dimensional objects. Developments in drawing surfaces are also an important enabler for these interfaces, such as the emergence of digital ink and electronic paper, which allow a more natural sketching interaction to occur. Stylus pens currently in development may incorporate their own displays integrated into the body of the pen, to allow users to select the type of drawing effect they require. These interfaces are increasingly likely to become bidirectional in terms of their information flow, as they begin to relay feedback to their users, relating to features such as texture. For example, some developments are currently focusing on introducing vibro-haptic feedback for erroneous use for educational/training purposes (e.g. where a word is spelt incorrectly with the pen).  ","- These types of implements could be in the design of Defence equipment.

- The use of 3D drawing capabilities could be used in operational planning within a virtual environment.

- Digital pens and paper with in-built translation functions could be used by deployed soldiers in peacekeeping / nation-building operations for communication with the local population.","These implements are quite dependent on being supported by digital drawing software. They may also draw on handwriting recognition technologies, which would learn to recognise the styles of different users. They could be combined with AI translation technologies to convert any text to other languages, as per normal text input.",There are no assessed significant legal and ethical issues relating to the use of drawing or writing implements.,"The DLOD impacts are likely to be minimal, but the broader availability of handwriting and drawing technologies within Defence might require a cultural shift within the organisation, which has become very used to standard business software for the production of text and graphics.","Stylus position on a screen is often similar to touch screens actuated with a finger, using resistive or capacitive sensors on a grid. Light pens are also used, with photosensitive components placed on a layer on the screen. High (pixel level) precision can be achieved with additional optical sensors in the stylus, by indexing individual uniquely coded screen pixels. There are a range of common standard technologies implemented in commercial devices, many of which are under active development.",Companies such as [reMarkable](https://www.takram.com/projects/zensei/) are involved in the production of e-ink drawing tablets which utilise styluses. [Qian Yedan](http://www.qianyedan.com/3d-stylus) is an example of a company producing a 3D stylus for use in augmented reality.,Incremental,Visual (text):Visual (non-text),Air:Cyberspace:Electromagnetic:Land:Littoral:Maritime:Space,../images/tech-images/base/6 - Drawing or writing implements.png
7,Image recognition cameras,image_recognition_cameras,7 - FACE ID Black-01,Cameras which capture information from the human user or their environment as an input (e.g. reading facial expression or observing posture).,2 Years,4 Years,7 Years,"Facial recognition on doorbells or smart devices to control access or customise use.

Emotional detection of human users to adjust system responses.","- [Challenges in facial recognition](https://www.sciencedirect.com/science/article/pii/S1877050918321252)
- [Imagery based detection of human emotion](https://www.sciencedirect.com/science/article/pii/S1877050918321252)
- [Image processing of human operator to control a robot](https://www.sciencedirect.com/science/article/pii/S1877705814033116)
- [Automated thermal image processing for UAV detection of humans](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6068987/)","This includes any camera devices that capture still or moving imagery of a human user and interpret this to provide different system responses. It also includes non-visible imagery capture devices, such as thermal cameras. Where such devices are closely coupled with intelligent image recognition software, they can be used to respond to user inputs, such as facial expressions, posture, gait and other body movements in order to provide tailored or adjusted system outputs. 

Most of the technological advances are currently being achieved in the underlying image recognition technologies, such as deep learning, rather than in the camera devices themselves. However, advances in the hardware, such as miniaturisation, may enable new applications for image recognition interfaces. Additionally, the advance of different imaging techniques (e.g. thermal scanning) may enable these interfaces to absorb much more information from their human users than is present in the visible spectrum, potentially allowing insights into mood and health.","- Facial recognition could be used as a verification method for secure IT system access, but also site access.

- Monitoring of stress and fatigue via camera-captured imagery could be used to help determine human operator status, and therefore increase or reduce autonomous support.","Advanced algorithms have already been developed for commercial applications of facial recognition software, such that confidence is very high with sufficiently high quality imagery. This will continue to improve, also enabling facial expressions to be accurately read by machines (possibly even more accurately than by humans).","The key legal and ethical issue pertaining to this interface technology is to do with data privacy, when it relates to non-consensual applications which can be used to determine the movements and activities of a person. Similarly, there are some issues relating to machines sensing and responding to human emotional states, as assessed through analysis of facial expression of other visible tells.",Establishing the infrastructure and equipment to enable this technology to be deployed across Defence would be a significant undertaking. There would also be a requirement for a substantial degree of staff consultation to ensure personnel were content with its intended use.,"Commonly available cameras use Complementary Metal-Oxide-Semiconductor (CMOS) integrated circuits, either with a pinhole or a set of optical lenses (diffraction and/or fresnel). These optically sensitive components can be designed to operate in a range of optical frequencies considerably wider than the visible light spectrum. For example, cameras on modern laptops can image in the near infrared spectrum to indicate the temperature of the subject. Far Infrared camera components are available (albeit expensive and bulky), and are used in security applications.","There are numerous companies specialising in image recognition technologies, principally focusing on the underlying AI, rather than the cameras themselves. [AnyVision](https://www.anyvision.co/) and [Herta Security](https://www.hertasecurity.com/en) are two prominent examples.",Step,Visual (non-text),Land:Air:Maritime,../images/tech-images/base/7 - Image Recognition Camera.png
8,Eye tracking equipment,eye_tracking_equipment,8 - EYE Tracking Black-01,Technology which captures human eye movement as an input.,4 Years,6 Years,8 Years,"Measuring online advertising effectiveness by observing viewing patterns.

Improving virtual reality experiences.","- [Insights to be gained by eye tracking](https://link.springer.com/chapter/10.1007/978-3-030-42504-3_15)
- [The anatomy of eye movements](https://www.researchgate.net/publication/265162808_Human_Eye_Tracking_and_Related_Issues_A_Review)
- [The application of eye tracking in aviation](https://www.tandfonline.com/doi/full/10.1080/24721840.2018.1514978)","This includes the monitoring of user eye movements as an input, allowing systems to respond to visual focus. Eye tracking can be delivered through a number of technologies, although most modern systems principally use reflected infrared light. Eye tracking is used in two main ways. First, to infer user interest and focus (in terms of what they are looking at) and secondly to allow deliberate hands-free interaction, where conscious staring is used to select content or options (eye tracking for control). Systems can be head mounted or placed in front of a user, but soon eye tracking may become a standard feature on smartphones and many other devices. 

Some of the key developments in this area will come not from the eye tracking itself, but from using this information to infer the intent of a human user of a system and provide predictive responses accordingly. This could see the provision of seemingly intuitive support from machine systems, where they are able to filter information on the user's behalf and anticipate the options of relevance to the user.","- Eye tracking could potentially be used to assist with visual targeting operations, where weapons systems follow the user's line of site.

- It could be used to help surface relevant information to users quickly based on a dynamic display of operational activity.","The data analysis required to actually track eye movements is relatively mature. The next steps towards extracting additional utility out of eye tracking interfaces will involve trying to interpret the intent behind that eye movement (drawing in information like gaze time, focus and pattern of eye movement) to try and model the purpose of a particular 'look'.","There are some ethical issues around monitoring eye gaze and the insight this provides into a human's interest or intent. It may be possible, for example, to determine human attraction based on gaze. Legal and policy challenges may focus on the provision of consent and the protection of private thoughts and feelings.",Establishing the infrastructure and equipment to enable this technology to be deployed across Defence would be a significant undertaking. There would also be a requirement for a substantial degree of staff consultation to ensure personnel were content with its intended use.,"These systems generally rely on an image of the user's eye, usually in Infrared (to prevent dazzling). The image, along with a known reference point (e.g. the position of the sensor) is used to extrapolate the gaze direction of the user's eye. Additionally, reflections of light, or distortions of the image of features of the eye (e.g. iris or retina textures) can be used to estimate the momentary focal distance and direction of the eye.",[Tobii](https://www.tobii.com/) is one of the leading companies specialising in eye tracking interfaces.,Step,Movement/Orientation,Land:Air:Maritime,../images/tech-images/base/8 - Eye Tracking equipment.png
9,Physiological monitors,physiological_monitors,9 - Physiological monitors Black-01,Devices or equipment which capture physiological measures or biometric indicators from the human user as a system input.,5 Years,7 Years,10 Years,"ID verification via biometrics.

Prescribing tailored exercise to users based on their physiological status.","- [Overview of health monitoring devices](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6111409/)
- [Wearable physiological monitors for healthcare](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6111409/0)
- [Integrated physiological monitoring in a military context](https://cradpdf.drdc-rddc.gc.ca/PDFS/unc256/p804911_A1b.pdf)
- [Photoplethysmography for detecting divided attention](https://dl.acm.org/doi/10.1145/3025453.3025552)
- [Breathing and posture monitor](http://prana.co/)","This category of interfaces is based on a large number of existing monitoring technologies which have, in some cases, long-standing applications in healthcare settings. This could include using heart rate, blood pressure or other indicators of physiological stress as inputs to a system, which adapts its response. Alternatively, it might involve using biometric markers (e.g. thumb print, iris, DNA) to identify a user and permit or tailor their system access. 

Emerging approaches to the capture of user inputs based on physiological markers include, monitoring skin blood perfusion through photoplethysmography and wearable breathing and posture monitors. The technology related to the analysis of this data is also rapidly advancing, with the potential for better risk identification and anomaly detection coupled with continuous data collection, promising a personalised healthcare revolution.","- Group physiological monitoring could be used to control environmental conditions on a large platform.

- Monitoring the physical and emotional health of deployed personnel to support the automated deployment of healthcare and pastoral interventions.",These interfaces could be combined with autonomous assistants to allow them to provide tailored pastoral support.,"The routine use of physiological monitoring may mean that many of these interfaces will be subject to the MOD Research Ethics Committee (MODREC) approval throughout their development process. Once in service, there is likely to be an ongoing issue related to the provision of informed consent for continuous physiological monitoring of the user, particularly where there is an invasiveness to the sensors itself.",These types of interface are likely to require the establishment of policy and IT infrastructure to ensure the privacy of information derived from collected physiological data.,"Physiological monitors can employ a very wide range of sensor types. Simple sensors include temperature and piezoelectric pressure components. Commercial and consumer grade biochemical spectroscopy and DNA sequencing solutions are emerging and decreasing in cost and size, and it is likely that such components will become commonplace in consumer devices (in a similar way that Global Positioning System (GPS) components are now ubiquitous).","[Fitbit](https://www.tobii.com/) are one of the most high profile producers of interfaces which take physiological measures (principally heart rate, but also looking at other measures).",Disruptive,Electrical Signal,Land:Air:Maritime,../images/tech-images/base/9 - Physiological monitors.png
10,Physical virtual reality control interfaces,physical_virtual_reality_control_interfaces,10 - Physical Virtual Reality Control Interface Black-01,Real physical objects used by an individual interacting with virtual reality to provide a physical real-world effect (e.g. stationary treadmills or token objects).,4 Years,7 Years,12 Years,"Creating proxies for virtual game objects in the real-world.

A stationary treadmill and harness used for moving around in a virtual world.","- [Physical objects in a mixed reality context](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6068987/)
- [Flexible touch tokens](https://dl.acm.org/doi/10.1145/3025453.3025894)
- [Virtual props for virtual climbing](https://www.youtube.com/watch?v=5iVaj1CPDXo)
- [Robotic assembly of proxy objects for virtual reality interactions](https://www.youtube.com/watch?v=lac2-orl9CI)","A human user operating in a virtual world has a limited ability to interact intuitively in a physical sense with their virtual surroundings. This category of interfaces brings together all of the real-world objects and pieces of equipment which are utilised to enable a user to physically interact within a virtual environment. This might include equipment which allows a user to experience physical movement or action within the virtual world (such as a stationary treadmill) or it might include physical representations (tokens or proxies) of objects in the virtual world which are interacted with (e.g. a physical mock-up of a control panel which exists in the virtual space). 

As innovations in mixed reality continue to flourish, the fusion between physical props and equipment, and the virtual environment are likely to increase. Approaches like the robotic assembly of proxy objects for use in virtual environments, could enable increased flexibility in the provision of real-world objects, which match virtual objects. Additionally, tracking technology which helps situate different individuals within the same virtual space may begin to enable virtual environments to be spatially synchronised with real-world props for multiple users. ","- These kinds of interfaces could be for detailed preparation for special forces operations, where a particular physical space is mocked up, but the dry-run is also conducted in a virtual simulation for added realism.

- A stationary treadmill could be used for physical exercise in a virtual environment, where there are no opportunities for outdoor exercise (e.g. onboard a submarine).",Matching the real physical objects and placing them within the virtual environment is obviously entirely dependent on the software that generates the virtual environment.,"It is possible that users may be injured by a physical object that is used to enhance a virtual environment. This risk will have to be assessed and managed, and could lead to personal injury claims. Activities considered to be low risk in the real-world (e.g. walking), might carry much greater risk when performed in a virtual environment.","These physical devices present some interoperability issues, because they can only be utilised in one location at a time. This means different users entering a virtual environment from different physical sites might not be able to coordinate their experiences.","The production of most physical objects that are used to provide a physical presence to support virtual environment immersion, is fairly low tech at present (largely consisting of traditional construction methods). However, rapid 3D printing and autonomous robotic construction using building blocks (presently at low resolution), may be employed to support near-instantaneous generation of physical objects.","The [Virtuix Omni](https://www.virtuix.com/) is one of the best known virtual reality treadmills, with other companies producing similar equipment for use in the games industry. [Birdly](https://birdlyvr.com/) have also developed a novel physical flying interface.",Step,Movement/Orientation,Land:Air:Maritime,../images/tech-images/base/10 - Physical Virtual Reality Control Interface.png
