Cognitive Challenge Family Name,Individual Cognitive Challenge Short Name,Individual Cognitive Challenge Long Name,Technology Name,Linked 0/1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Touchscreens,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Handheld controllers,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Keyboard and text input devices,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Drawing or writing implements,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Image recognition cameras,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Eye tracking equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Physiological monitors,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Smart clothing and other wearables,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Telepresence equipment,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Speech-based interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Vehicle controls,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Robot Controller Interfaces,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Exoskeletons,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Smart home devices,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Haptic feedback equipment,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Physical/tactile displays,1,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Visual/light indicators,0,,,,,,,,,,,,,,,
1. Collaboration with varied actors (state/nonstate/corporate/NGOs),"Mission planning, logistical and engineering support ",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,2D visual displays,1,,,,,,,,,,,,,,,
