GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
0,0,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",1,Touchscreens,1,1,1
1,1,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",2,Touch-interactive large objects,1,1,1
2,2,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",3,Gesture and movement sensors,1,1,1
3,3,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",4,Handheld controllers,1,1,1
4,4,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",5,Keyboard and text input devices,1,1,2
5,5,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",6,Drawing or writing implements,1,1,2
6,6,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",7,Image recognition cameras,0,0,0
7,7,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",8,Eye tracking equipment,0,0,0
8,8,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",9,Physiological monitors,0,0,0
9,9,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",10,Physical virtual reality control interfaces,1,1,1
10,10,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",11,Smart clothing and other wearables,0,0,0
11,11,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",12,Telepresence equipment,1,1,2
12,12,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",13,Speech-based interfaces,1,1,1
13,13,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",14,Vehicle controls,0,0,0
14,14,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",15,Robot controller interfaces,0,0,0
15,15,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",16,Exoskeletons,0,0,0
16,16,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",17,Body-integrated interfaces,1,1,1
17,17,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.1,Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,"Mission planning, logistical and engineering support",18,Smart home devices,0,0,0
