id,ref,family,challenge,definition,scenario,domain,horizon,impact,valence,activity,cognition,challenges
1,1.1,1,"Mission planning, logistical and engineering support",Provide mission planning and logistical / engineering aid to Non-Governmental Organisations (NGOs) and states.,Military asked to help civilian authorities with planning for flood relief scenarios.,Land,2025,Incremental,Positive,Collaborative planning,"Communication, planning","Need for development of both 'soft' interoperability (people, e.g., training, translation if required, agreed terms of reference, cultural understanding) and 'hard' interoperability (between digital systems and shared digital tools)."
2,1.2,1,Security support,Provide security support to Non-Governmental Organisations (NGOs) and states.,Military help secure friendly city after breakdown in law and order.,Land,2025,Incremental,Positive,Provide security and patrolling,"Communication, planning, situational awareness","Need for development of both 'soft' interoperability (people, e.g., training, translation if required, agreed terms of reference, cultural understanding) and 'hard' interoperability (between digital systems, shared digital tools)."
3,1.3,1,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Provide lift/heavy lift to Non-Governmental Organisations (NGOs) and states.,Military support transport of aid and machinery to regions affected by natural disasters in collaboration with aid organisations.,"Air, Land, Maritime",2025,Incremental,Positive,Lift capability,"Communication, planning","Need for collaborative planning, provision of secure access to sites as required (can technology be used to make sites more available to third parties while maintaining a high level of security?)."
4,1.4,1,Cooperation with city authorities,"Cooperation with city authorities will be an increasing part of urban operations, potentially spanning policing, combat and humanitarian response.","Three block war (military action, policing and humanitarian relief missions overlapping in city).",Land,2025,Incremental,Neutral,"Security, patrolling, combat operations, social interaction",Communication,"Need for development of both 'soft' interoperability (people, e.g., training, translation if required, agreed terms of reference, cultural understanding) and 'hard' interoperability (between digital systems, shared digital tools)."
5,1.5,1,Countering biological weapons,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Tracking and tracing spread of biological weapon use; 'oppositional field epidemiology'.,Land,2035+,Incremental,Negative,"Patrolling, investigation, social interaction","Communication, planning, sensemaking",Implies a requirement for common reporting and coordination tools.
6,1.6,1,Interoperation with partners,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Joint action with NGOs and local groups to establish clear pathways for food delivery to local markets after a natural disaster.,Land,2025,Incremental,Positive,Collaborative planning,Communication,"Need for development of both 'soft' interoperability (people, e.g., training, translation if required, agreed terms of reference, cultural understanding) and 'hard' interoperability (between digital systems, shared digital tools)."
7,1.7,1,Open information sharing,"Need for ""Expansive Sharing"". It will be important to be open to sourcing information outside traditional sources and from novel collaborations outside the norm as part of collaborative action. This may challenge the normative understanding of information security.","Share and accept information from informal coalition of local groups, NGOs and corporations.",Land,2025,Step change,Positive,Information sharing,"Communication, sensemaking, monitoring","This is a challenging problem requiring taking a sophisticated and nuanced view on information security. Soft challenges dominate (what to share, what to accept, who to share with)."
8,1.8,1,Mass operations,"""Mass operations"" - both mass evacuation and guiding deployment of mass manpower.",Organise and facilitate mass evacuation from a city while maintaining public order and safety.,"Air, Land, Maritime, Cyber",2025,Incremental,Positive,"Mass communication, patrolling, security","Communication, mass communication, planning, monitoring, sensemaking, situational awareness, visualisation",Need to develop access to means of mass communication (possibly even distributed mass collaboration depending how active other parties are required to be in the effort); this will probably have a strong cyber and influence elements together with logistical planning.
9,1.9,1,Collaborative space operations,Space as a domain of operation will require significant collaboration and interaction with both states and corporations.,Collaborate with corporations and governments to procure timely orbital lift to replace damaged satellites.,Space,2025-2035,Disruptive,Neutral,Collaborative planning,"Communication, planning",Requirement to establish common understanding and sight of common needs / requirements across collaborators.
10,2.1,2,Utilising swarms,Creating mass effect through control of large numbers of automated / autonomous vehicles.,Controlling a swarm of Unmanned vehicles on the battlefield to create an Area Denial Effect.,"Air, Land, Maritime",2025-2035,Disruptive,Neutral,UAV control,"Control, decision-making, monitoring","Need to develop Human-automation teaming, way of maintaining human-in-loop and Rules of Engagement / deconfliction while acting in a distributed manner at extreme tempo."
11,2.2,2,Using sensor-to-shooter systems,Integration of sensor to shooter systems for high-tempo operations.,Managing battlefield activities in a fully networked battlespace.,"Air, Land, Maritime",2025-2035,"Incremental (short-term), Step change (long-term)",Positive,Command and Control,"Control, decision-making, monitoring, situational awareness","Need to develop Human-automation teaming, way of maintaining human-in-loop and Rules of Engagement / deconfliction while acting in a distributed manner at extreme tempo."
12,2.3,2,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,"Overseeing, approving and monitoring action of mixed human and automation controlled units on the battlefield.","Air, Land, Maritime, Space",2025-2035,Incremental,Neutral,Army Legal Services input into C2,"Control, decision-making, expert judgement, monitoring, situational awareness, visualisation, deconfliction","Need to develop Human-automation teaming, way of maintaining human-in-loop and Rules of Engagement / deconfliction while acting in a distributed manner at extreme tempo. Will also include provision of adequate information about status of both situation and AI state in response to it (e.g., explainable artificial intelligence providing self-commentary, certainty / error / prediction etc). Can ethics/law/Rules of Engagement be robustly represented in algorithms?"
13,2.4,2,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Monitoring of an important target in a sensitive location after launch of a recallable missile.,"Air, Land, Maritime, Space",2025,Incremental,Positive,Control and authority for delayed munitions use,"Control, decision-making, monitoring, situation awareness, vigilance, visualisation, deconfliction","Need for visualisation support for ongoing monitoring and deconfliction, may be supported by automation especially if it reduces impacts of vigilance decrement."
14,2.5,2,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Patrolling carried out by autonomous vehicles.,Land,2025-2035,Disruptive,Negative,Control of robotics for non-combat tasks,"Control, monitoring, situational awareness","Need for flexible and expressive robotics beyond solely combat operations, can robotics be used in a non-alienating way where 'human touch' would normally be expected."
