GLOBAL_UID,SOURCE_TECHNOLOGY_SRC,SOURCE_TECHNOLOGY,TARGET_TECHNOLOGY,SOURCE_YEAR,TARGET_YEAR,METRIC_VALUE,TEXT,newTechnologyInformation
3,Gesture and movement sensors,Gesture and movement sensors,3D Model Sculpting,2020,2030,1,3D Model Sculpting,"The integration of different interfaces to enable users to draw and annotate projected 3D images, producing 3D models or dynamically adjusting 3D representations, and supporting rapid prototyping."
6,Drawing or writing implements,Drawing or writing implements,3D Model Sculpting,2020,2030,1,3D Model Sculpting,"The integration of different interfaces to enable users to draw and annotate projected 3D images, producing 3D models or dynamically adjusting 3D representations, and supporting rapid prototyping."
19,Rapid 3D modelling,Rapid 3D modelling,3D Model Sculpting,2020,2030,1,3D Model Sculpting,"The integration of different interfaces to enable users to draw and annotate projected 3D images, producing 3D models or dynamically adjusting 3D representations, and supporting rapid prototyping."
24,3D visual displays,3D visual displays,3D Model Sculpting,2020,2030,1,3D Model Sculpting,"The integration of different interfaces to enable users to draw and annotate projected 3D images, producing 3D models or dynamically adjusting 3D representations, and supporting rapid prototyping."
1,Touchscreens,Touchscreens,3D Touchscreens,2020,2030,1,3D Touchscreens,"The development of touchscreens which project 3D 'pop-up' images from a device, which can be manipulated beyond the confines of interactions with the flat screen."
3,Gesture and movement sensors,Gesture and movement sensors,3D Touchscreens,2020,2030,1,3D Touchscreens,"The development of touchscreens which project 3D 'pop-up' images from a device, which can be manipulated beyond the confines of interactions with the flat screen."
21,Physical/tactile displays,Physical/tactile displays,3D Touchscreens,2020,2030,1,3D Touchscreens,"The development of touchscreens which project 3D 'pop-up' images from a device, which can be manipulated beyond the confines of interactions with the flat screen."
24,3D visual displays,3D visual displays,3D Touchscreens,2020,2030,1,3D Touchscreens,"The development of touchscreens which project 3D 'pop-up' images from a device, which can be manipulated beyond the confines of interactions with the flat screen."
,Machine Chauffeur,Machine Chauffeur,Fleet Management System,2030,2035,1,Fleet Management System,Bringing together information derived from interfaces for automated vehicle direction and also 3D touchscreens in order to deliver simple central control of fleets of vehicles.
,3D Touchscreens,3D Touchscreens,Fleet Management System,2030,2035,1,Fleet Management System,Bringing together information derived from interfaces for automated vehicle direction and also 3D touchscreens in order to deliver simple central control of fleets of vehicles.
4,Handheld controllers,Handheld controllers,Human Symbiosis,2020,2040,1,Human Symbiosis,"Integrating a range of interfaces to deliver the ability to share physical experience and even possibly physical control of bodies across different people who are in different spaces. For example, you might sense a touch delivered to another person or even potentially move their body."
16,Exoskeletons,Exoskeletons,Human Symbiosis,2020,2040,1,Human Symbiosis,"Integrating a range of interfaces to deliver the ability to share physical experience and even possibly physical control of bodies across different people who are in different spaces. For example, you might sense a touch delivered to another person or even potentially move their body."
17,Body-integrated interfaces,Body-integrated interfaces,Human Symbiosis,2020,2040,1,Human Symbiosis,"Integrating a range of interfaces to deliver the ability to share physical experience and even possibly physical control of bodies across different people who are in different spaces. For example, you might sense a touch delivered to another person or even potentially move their body."
28,Brain-Computer Interface,Brain-Computer Interface,Human Symbiosis,2020,2040,1,Human Symbiosis,"Integrating a range of interfaces to deliver the ability to share physical experience and even possibly physical control of bodies across different people who are in different spaces. For example, you might sense a touch delivered to another person or even potentially move their body."
10,Physical virtual reality control interfaces,Physical virtual reality control interfaces,Immersive Presence,2020,2035,1,Immersive Presence,"Combining various sensing and projection interface technologies to provide a much more extensive and integrated virtual experience. For example, bringing together visual, audio and touch sensing, alongside an ability to project a robotic presence into a remote environment and communicate with other people who are present via telepresence interfaces."
12,Telepresence equipment,Telepresence equipment,Immersive Presence,2020,2035,1,Immersive Presence,"Combining various sensing and projection interface technologies to provide a much more extensive and integrated virtual experience. For example, bringing together visual, audio and touch sensing, alongside an ability to project a robotic presence into a remote environment and communicate with other people who are present via telepresence interfaces."
15,Robot controller interfaces,Robot Controller Interfaces,Immersive Presence,2020,2035,1,Immersive Presence,"Combining various sensing and projection interface technologies to provide a much more extensive and integrated virtual experience. For example, bringing together visual, audio and touch sensing, alongside an ability to project a robotic presence into a remote environment and communicate with other people who are present via telepresence interfaces."
26,Virtual reality headsets,Virtual reality headsets,Immersive Presence,2020,2035,1,Immersive Presence,"Combining various sensing and projection interface technologies to provide a much more extensive and integrated virtual experience. For example, bringing together visual, audio and touch sensing, alongside an ability to project a robotic presence into a remote environment and communicate with other people who are present via telepresence interfaces."
