GLOBAL_UID,FID,Tech_UID,techName,Event,eventStartDate,eventEndDate,comment,eventType,Impact,Likelihood,References
0,1,0,Touchscreens,Cheap close proximity touch detection developed,2021,2025,"The reliability and cost of optical recognition technology, which adds infrared light to a white backlight to allow the camera to better visualise what is touching (or nearly touching) the screen, could reduce dramatically meaning that it is widely incorporated into touchscreens. This will mean any object or material (e.g. gloved hands) can be used to touch a screen and close proximity could be used instead of actual touch (this could have important hygiene implications in a post-Covid scenario).",Technology Development,Low,High,
1,1,1,Touchscreens,Commercial projected touchscreens developed,2024,2030,"While systems like Sony's Xperia Touch already exist, which project an image onto a flat surface that can be interacted with like a touchscreen, they are expensive and don't function as well as a much cheaper standard touchscreen. However, performance of these types of devices is likely to improve alongside reductions in their size and robustness. Touchscreen projectors could allow large screens to be projected onto walls and be integrated into smart devices, allowing them to generate their own interfaces that don't require any surface space.",Technology Development,Medium,Medium,
2,1,2,Touchscreens,Haptic effects incorporated into touchscreens,2025,2035,"Haptic effects, beyond simple vibration, such as texture and resistance could be incorporated into touchscreens, providing a much more apparently tactile experience. These effects could be delivered through a combination of pseudo-haptic mechanisms (e.g. visual illusions, vibration and sound effects) and friction or force modulation (e.g. via electrostatic or ultrasonic actuation). This might enable certain touch actions to feel easier or harder to perform and allow for haptic feedback for particular actions (e.g. actions with a safety implication).",Technology Development,Medium,Low,
3,1,3,Touchscreens,Projected screens incorporated into smart speakers and smart devices,2030,2040,"Networked smart devices and smart speakers, could incorporate small projectors which enable touchscreens to be projected onto nearby surfaces, enhancing the interface with the user.",Integration,Low,Low,
4,1,4,Touchscreens,Legal issues related to touchscreen distraction resolved,2030,2035,"Currently, touchscreens on standalone devices (e.g. smartphones) are legally considered to be distracting devices in relation to driving and other high risk activities (e.g. operating machinery). Touchscreens are an increasingly integral part of many vehicle control interfaces. As automation of operation of vehicles and other equipment increases, it is likely that the use of touchscreens may become more feasible and legally permissible, particularly if touchscreens utilise more effects that are independent of vision (e.g. haptic feedback/guidance).",Legal/Ethical,Medium,Medium,
5,1,5,Touchscreens,Safety of equipment operation addressed,2021,2027,"Issues relating to touchscreens and equipment control, such as those seen in the 2017 USS John S. McCain accident, are accounted for through better training, testing and better safety measures. This allows touchscreens to be used with greater confidence for precise and high risk military tasks.",Defence Implication,Medium,Medium,
6,1,6,Touchscreens,Greater ruggedisation of touchscreens,2028,2032,"Standard touchscreens become highly ruggedised, possibly incorporating flexible screens, and commercial-off-the-shelf equipment can be used in most hostile environments.",Defence Implication,Medium,Medium,
7,1,7,Touchscreens,Price of touchscreens significantly reduces,2035,2040,"The cost of manufacturing and integrating small touchscreens reduces to such an extent that they can be made easily integral for many types of inexpensive household equipment, becoming common interfaces and replacing switches and dials in many cases (e.g. most ovens incorporate a touchscreen for operation).",Production,Low,Low,
8,1,8,Touchscreens,Touchscreens made obsolete by speech-based interfaces,2037,2040,"Touchscreens become to be seen as an obsolete technology, as the use of personal assistants driven by speech-based interfaces starts to dominate the operation of most devices.",Societal Adoption,High,Medium,
9,2,0,Touch-interactive Large Objects,Multiple user large touchscreen become the norm,2022,2026,"It is likely that large touchscreens will need to be accessed by multiple users simultaneously in order to facilitate collaboration. Although there are a number of software and hardware solutions that enable this, often based on breaking the larger screen into separate zones, true interactivity will only be possible between users, when they can all operate a screen freely at the same time (like a giant canvas). This will require these large touchscreens to be able to distinguish between users and deconflict multiple inputs related to commands (e.g. how are simultaneous requests to zoom in and zoom out resolved?). It is possible that commercially available large touchscreens will be developed which enable multiple user touch.",Societal Adoption,Medium,Medium,
